"Enota","Drzava","Leto","Trenutno","Predhodno"
"Current prices, million euro","Belgium","2013","395262.1","389321.4"
"Current prices, million euro","Bulgaria","2013","41047.9","41362.9"
"Current prices, million euro","Czech Republic","2013","157284.8","159818.4"
"Current prices, million euro","Denmark","2013","252938.9","249567.0"
"Current prices, million euro","Germany","2013","2809480.0","2752751.0"
"Current prices, million euro","Estonia","2013","18738.8","17924.2"
"Current prices, million euro","Ireland","2013","174791.3","173054.1"
"Current prices, million euro","Greece","2013","182438.0","186639.0"
"Current prices, million euro","Spain","2013","1049181.0","1042180.0"
"Current prices, million euro","France","2013","2113687.0","2097022.0"
"Current prices, million euro","Italy","2013","1618904.0","1596665.0"
"Current prices, million euro","Cyprus","2013","18118.9","17995.3"
"Current prices, million euro","Latvia","2013","23265.0","23153.9"
"Current prices, million euro","Lithuania","2013","34955.6","34399.0"
"Current prices, million euro","Hungary","2013","100536.5","100204.7"
"Current prices, million euro","Malta","2013","7543.9","7393.5"
"Current prices, million euro","Netherlands","2013","642851.0","635996.0"
"Current prices, million euro","Austria","2013","322594.6","317936.5"
"Current prices, million euro","Poland","2013","395962.4","392584.9"
"Current prices, million euro","Portugal","2013","171211.0","167369.1"
"Current prices, million euro","Romania","2013","144282.2","136341.9"
"Current prices, million euro","Slovenia","2013","36144.0","35646.5"
"Current prices, million euro","Slovakia","2013","73593.2","73213.2"
"Current prices, million euro","Finland","2013","201341.0","196669.0"
"Current prices, million euro","Sweden","2013","436342.4","428769.4"
"Current prices, million euro","United Kingdom","2013","2017193.8","2041570.2"
"Current prices, million euro","Iceland","2013","11534.8","11234.5"
"Current prices, million euro","Norway","2013","393098.4","399621.9"
"Current prices, million euro","Switzerland","2013","516068.1","528131.6"
"Current prices, million euro","Macedonia","2013","8122.6","8110.5"